trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.5}",35,-100,-485.34045001078084,"{0: 93, 1: 9, 2: 22, 3: 4, 4: 7}",0
2,False,"{'a': 0.5, 'e': 0.25}",25,-100,-121.61448856762806,"{0: 106, 1: 4, 2: 7, 3: 6, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.125}",30,-100,74.89551226635415,"{0: 122, 1: 0, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.0625}",25,-100,18.404898658367078,"{0: 112, 1: 5, 2: 3, 3: 5, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.03125}",25,-100,56.39792170196899,"{0: 118, 1: 3, 2: 1, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.015625}",30,-100,163.98749494840072,"{0: 128, 1: 0, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.0078125}",20,-100,49.59163713882366,"{0: 116, 1: 0, 2: 0, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.00390625}",20,-100,102.6388195207781,"{0: 115, 1: 2, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.001953125}",20,-100,128.03727796416075,"{0: 117, 1: 1, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.0009765625}",20,-100,185.60519805773708,"{0: 120, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.00048828125}",20,-100,168.76233767459019,"{0: 119, 1: 0, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.000244140625}",25,-100,171.30360012733496,"{0: 124, 1: 0, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.0001220703125}",25,-100,202.2264829784292,"{0: 125, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 6.103515625e-05}",20,-100,190.92176212585503,"{0: 120, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 3.0517578125e-05}",20,-93,172.35843430337394,"{0: 113, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.52587890625e-05}",25,-72,149.30863036184064,"{0: 97, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 7.62939453125e-06}",30,-100,167.16047271120382,"{0: 129, 1: 0, 2: 0, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 3.814697265625e-06}",30,-89,201.27121265035333,"{0: 119, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.9073486328125e-06}",25,-40,107.49537012231039,"{0: 65, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 9.5367431640625e-07}",20,-100,195.8324128976956,"{0: 120, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,-100,185.80535408642965,"{0: 120, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,-24,86.00703111698273,"{0: 54, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,-100,179.92555321580159,"{0: 120, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,-100,179.30254510139636,"{0: 125, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,-100,190.8623195769111,"{0: 130, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,-100,178.5544465979031,"{0: 120, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,-93,145.45929195725174,"{0: 122, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,-100,163.72460221741235,"{0: 120, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,-100,203.50353448156667,"{0: 130, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,-100,154.76384497701773,"{0: 124, 1: 0, 2: 0, 3: 1, 4: 0}",0
