trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,-100,-498.03594618052097,"{0: 74, 1: 14, 2: 22, 3: 4, 4: 6}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",30,-100,-615.9515261589587,"{0: 77, 1: 17, 2: 25, 3: 3, 4: 8}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",30,13,-85.86702351331002,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 1}",1
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",30,-48,-489.8320942191147,"{0: 44, 1: 8, 2: 13, 3: 7, 4: 6}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,-38,-341.92529309827404,"{0: 33, 1: 9, 2: 8, 3: 3, 4: 5}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,-88,-524.1800962743367,"{0: 60, 1: 10, 2: 29, 3: 4, 4: 5}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,5,-12.462140681924621,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",35,-17,-233.32667386504014,"{0: 30, 1: 8, 2: 8, 3: 4, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,-100,-518.823055846327,"{0: 75, 1: 17, 2: 15, 3: 7, 4: 6}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,-27,-178.71380465827772,"{0: 30, 1: 2, 2: 11, 3: 3, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,-100,-645.4780713950505,"{0: 83, 1: 13, 2: 18, 3: 6, 4: 10}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,3,-73.95053554232763,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 0}",1
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,-92,-399.0129010268474,"{0: 70, 1: 19, 2: 21, 3: 4, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,-100,-798.0906678590525,"{0: 75, 1: 13, 2: 19, 3: 4, 4: 14}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,-2,-88.92451245071123,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,-62,-465.9905994763825,"{0: 45, 1: 7, 2: 21, 3: 4, 4: 5}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,-100,-732.4572273962216,"{0: 72, 1: 12, 2: 23, 3: 9, 4: 9}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",30,-46,-505.48735676429095,"{0: 41, 1: 15, 2: 7, 3: 5, 4: 8}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",30,-100,-618.8027963096843,"{0: 77, 1: 18, 2: 22, 3: 5, 4: 8}",0
